scale_factor,query,query_num,mean,median,std,min,max,count
1,Q1,1,1.5165948888888887,1.476982,0.12194216135779742,1.37744,1.731838,9
1,Q2,2,136.885841,223.867616,128.21522249680794,0.198792,257.186963,7
1,Q3,3,0.373987,0.355763,0.04069687673519925,0.345587,0.420611,3
1,Q4,4,0.17028200000000002,0.162245,0.01798676838678921,0.157715,0.190886,3
1,Q5,5,0.5552146666666666,0.457385,0.1764151229921441,0.44939,0.758869,3
1,Q6,6,0.21323466666666668,0.214734,0.0053237739746662275,0.207322,0.217648,3
1,Q7,7,2.307916,2.303931,0.015642936904558386,2.294651,2.325166,3
1,Q8,8,0.23549133333333336,0.187487,0.08404039754982921,0.186456,0.332531,3
1,Q9,9,1.6970536666666665,1.719336,0.04982047246196421,1.639981,1.731844,3
1,Q10,10,0.45025866666666664,0.450239,0.016134508989533364,0.434134,0.466403,3
1,Q11,11,0.07407033333333334,0.055918,0.03298638210433713,0.054147,0.112146,3
1,Q12,12,0.38329066666666667,0.381107,0.018567058742119967,0.365912,0.402853,3
1,Q13,13,0.4897643333333333,0.494097,0.009671525026247584,0.478684,0.496512,3
1,Q14,14,0.23254799999999998,0.230271,0.01225124152892269,0.221595,0.245778,3
1,Q15,15,0.510217,0.521146,0.02704007860565501,0.479423,0.530082,3
1,Q16,16,0.169212,0.167795,0.010190656946438741,0.159804,0.180037,3
1,Q17,17,0.56771,0.538583,0.052430238689138146,0.53631,0.628237,3
1,Q18,18,2.250402,2.209653,0.0828627570564729,2.195804,2.345749,3
1,Q19,19,0.04112233333333334,0.036278,0.012120713111584372,0.032173,0.054916,3
1,Q20,20,1.7816816666666666,1.787275,0.03654049202368971,1.742667,1.815103,3
1,Q21,21,1.3642776666666665,1.302038,0.11908984642837239,1.289204,1.501591,3
1,Q22,22,0.08073000000000001,0.085027,0.013492816125627735,0.065612,0.091551,3
2,Q1,1,3.408336333333333,3.376276,0.32545301005265465,3.1001,3.748633,3
2,Q2,2,0.7911256666666667,0.661813,0.251347915768827,0.630761,1.080803,3
2,Q3,3,0.7630876666666667,0.720827,0.09085369170448349,0.701062,0.867374,3
