scale_factor,query,run,time_seconds
1,Q1,1,1.560654
1,Q1,2,1.426852
1,Q1,3,1.476959
1,Q2,1,257.186963
1,Q2,2,223.867616
1,Q1,1,1.731838
1,Q1,2,1.476982
1,Q1,3,1.487903
1,Q2,1,230.322701
1,Q2,2,245.943681
1,Q1,1,1.690087
1,Q1,2,1.377440
1,Q1,3,1.420639
1,Q2,1,0.478775
1,Q2,2,0.202359
1,Q2,3,0.198792
1,Q3,1,0.420611
1,Q3,2,0.355763
1,Q3,3,0.345587
1,Q4,1,0.157715
1,Q4,2,0.162245
1,Q4,3,0.190886
1,Q5,1,0.758869
1,Q5,2,0.457385
1,Q5,3,0.449390
1,Q6,1,0.217648
1,Q6,2,0.214734
1,Q6,3,0.207322
1,Q7,1,2.303931
1,Q7,2,2.294651
1,Q7,3,2.325166
1,Q8,1,0.332531
1,Q8,2,0.186456
1,Q8,3,0.187487
1,Q9,1,1.719336
1,Q9,2,1.639981
1,Q9,3,1.731844
1,Q10,1,0.450239
1,Q10,2,0.434134
1,Q10,3,0.466403
1,Q11,1,0.112146
1,Q11,2,0.055918
1,Q11,3,0.054147
1,Q12,1,0.365912
1,Q12,2,0.402853
1,Q12,3,0.381107
1,Q13,1,0.494097
1,Q13,2,0.478684
1,Q13,3,0.496512
1,Q14,1,0.230271
1,Q14,2,0.221595
1,Q14,3,0.245778
1,Q15,1,0.530082
1,Q15,2,0.479423
1,Q15,3,0.521146
1,Q16,1,0.180037
1,Q16,2,0.167795
1,Q16,3,0.159804
1,Q17,1,0.628237
1,Q17,2,0.538583
1,Q17,3,0.536310
1,Q18,1,2.345749
1,Q18,2,2.195804
1,Q18,3,2.209653
1,Q19,1,0.054916
1,Q19,2,0.036278
1,Q19,3,0.032173
1,Q20,1,1.815103
1,Q20,2,1.787275
1,Q20,3,1.742667
1,Q21,1,1.302038
1,Q21,2,1.501591
1,Q21,3,1.289204
1,Q22,1,0.085027
1,Q22,2,0.065612
1,Q22,3,0.091551
2,Q1,1,3.376276
2,Q1,2,3.748633
2,Q1,3,3.100100
2,Q2,1,1.080803
2,Q2,2,0.630761
2,Q2,3,0.661813
2,Q3,1,0.867374
2,Q3,2,0.720827
2,Q3,3,0.701062
2,Q4,1,0.365882
2,Q4,2,0.350736
2,Q4,3,0.332186
2,Q5,1,1.073543
2,Q5,2,1.105591
2,Q5,3,1.091063
2,Q6,1,0.439763
2,Q6,2,0.434700
2,Q6,3,0.436510
2,Q7,1,5.443612
2,Q7,2,5.133369
2,Q7,3,5.356648
2,Q8,1,0.769228
2,Q8,2,0.426453
2,Q8,3,0.421361
2,Q9,1,3.818057
2,Q9,2,3.812959
2,Q9,3,3.814382
2,Q10,1,0.849180
2,Q10,2,0.871318
2,Q10,3,0.880710
2,Q11,1,0.324291
2,Q11,2,0.295905
2,Q11,3,0.294616
2,Q12,1,0.753338
2,Q12,2,0.780206
2,Q12,3,0.837803
2,Q13,1,1.183300
2,Q13,2,1.150300
2,Q13,3,1.056967
2,Q14,1,0.427851
2,Q14,2,0.426057
2,Q14,3,0.452093
2,Q15,1,1.161494
2,Q15,2,1.092425
2,Q15,3,1.064592
2,Q16,1,0.343105
2,Q16,2,0.310633
2,Q16,3,0.332727
2,Q17,1,1.182785
2,Q17,2,1.165727
2,Q17,3,1.135869
2,Q18,1,4.415965
2,Q18,2,4.408738
2,Q18,3,4.389850
2,Q19,1,0.102063
2,Q19,2,0.091571
2,Q19,3,0.086605
2,Q20,1,3.781467
2,Q20,2,3.676960
2,Q20,3,3.726155
2,Q21,1,1.025555
2,Q21,2,1.066674
2,Q21,3,1.037014
2,Q22,1,0.135335
2,Q22,2,0.124499
2,Q22,3,0.131733
4,Q1,1,6.052347
4,Q1,2,8.947298
4,Q1,3,5.799079
4,Q2,1,2.083326
4,Q2,2,1.306827
4,Q2,3,1.276688
4,Q3,1,2.402048
4,Q3,2,2.224056
4,Q3,3,2.253272
4,Q4,1,0.734317
4,Q4,2,0.700286
4,Q4,3,0.680536
4,Q5,1,1.666208
4,Q5,2,2.125461
4,Q5,3,1.888805
4,Q6,1,0.951455
4,Q6,2,0.884359
4,Q6,3,0.930844
4,Q7,1,5.311141
4,Q7,2,4.310347
4,Q7,3,4.174056
4,Q8,1,1.549146
4,Q8,2,0.978074
4,Q8,3,1.019594
4,Q9,1,7.023945
4,Q9,2,6.741103
4,Q9,3,6.892772
4,Q10,1,1.886915
4,Q10,2,2.017616
4,Q10,3,1.941603
4,Q11,1,0.772656
4,Q11,2,0.741316
4,Q11,3,0.730081
4,Q12,1,1.468794
4,Q12,2,1.488386
4,Q12,3,1.480704
4,Q13,1,2.072851
4,Q13,2,2.073674
4,Q13,3,2.335949
4,Q14,1,1.299154
4,Q14,2,0.905904
4,Q14,3,1.047568
4,Q15,1,2.531583
4,Q15,2,2.667028
4,Q15,3,2.315895
4,Q16,1,0.726438
4,Q16,2,0.651519
4,Q16,3,0.653638
4,Q17,1,3.166779
4,Q17,2,3.101734
4,Q17,3,3.266016
4,Q18,1,9.483873
4,Q18,2,9.075024
4,Q18,3,10.552919
4,Q19,1,0.281877
4,Q19,2,0.194809
4,Q19,3,0.206161
4,Q20,1,8.638689
4,Q20,2,10.356105
4,Q20,3,8.593844
4,Q21,1,2.779033
4,Q21,2,2.755313
4,Q21,3,2.721946
4,Q22,1,0.235684
4,Q22,2,0.187482
4,Q22,3,0.200943
8,Q1,1,12.175074
8,Q1,2,12.132459
8,Q1,3,11.510982
8,Q2,1,4.301101
8,Q2,2,3.126735
8,Q2,3,3.063904
8,Q3,1,10.910419
8,Q3,2,6.205394
8,Q3,3,8.999147
8,Q4,1,4.813804
8,Q4,2,4.420889
8,Q4,3,3.772134
8,Q5,1,7.014587
8,Q5,2,7.035774
8,Q5,3,7.121880
8,Q6,1,3.079346
8,Q6,2,2.849531
8,Q6,3,1.412308
8,Q7,1,4.593408
8,Q7,2,5.518455
8,Q7,3,4.984195
8,Q8,1,6.272780
8,Q8,2,8.792418
8,Q8,3,2.261355
8,Q9,1,27.103229
8,Q9,2,26.172405
8,Q9,3,17.894883
8,Q10,1,5.835741
8,Q10,2,6.014949
8,Q10,3,6.437643
8,Q11,1,5.478576
8,Q11,2,1.282077
8,Q11,3,1.298496
8,Q12,1,8.689616
8,Q12,2,7.513770
8,Q12,3,17.578833
8,Q13,1,7.510559
8,Q13,2,4.384690
8,Q13,3,4.156995
8,Q14,1,7.387891
8,Q14,2,5.362742
8,Q14,3,2.523048
8,Q15,1,5.999328
8,Q15,2,4.980428
8,Q15,3,4.995357
8,Q16,1,2.842188
8,Q16,2,1.402579
8,Q16,3,1.230541
8,Q17,1,9.995612
8,Q17,2,9.809698
8,Q17,3,8.109118
8,Q18,1,30.423795
8,Q18,2,30.827767
8,Q18,3,37.780611
8,Q19,1,1.893128
8,Q19,2,0.309100
8,Q19,3,0.325503
8,Q20,1,109.843280
8,Q20,2,110.173274
8,Q20,3,107.276908
8,Q21,1,75.186494
8,Q21,2,86.704068
8,Q21,3,63.800831
8,Q22,1,0.425757
8,Q22,2,0.293903
8,Q22,3,0.303509
