transaction_id	date	category	quantity	price
T000000000001	2026-01-01	Jewelry	3	33333.50
T000000000002	2026-01-01	Books	4	25000
T000000000003	2026-01-02	Jewelry	5	20000.0008
T000000000004	2025-12-31	Books	9	9999
T000000000005	2026-01-01	Books	3	10
T000000000006	2024-02-29	Garden	3	100
T000000000007	2023-02-29	Garden	3	100
T000000000008	2026-13-01	Garden	3	100
T000000000009	2026-04-31	Garden	3	100
T000000000010	2026-4-05	Garden	3	100
T000000000011	2026-01-05	Garden	-3	100
T000000000012	2026-01-05	Garden	3.0	100
T000000000013	2026-01-05	Garden	 3	100
T000000000014	2026-01-05	Garden	3	10.
T000000000015	2026-01-05	Garden	3	1e3
T000000000016	2026-01-05	Garden	3	-5
T000000000017	2026-01-05	Garden	3	
T000000000018	2026-01-05	Garden	3
T000000000019	2026-01-05	Garden	3	100	EXTRA

T000000000020	2026-01-05	Books	2	50000
T000000000021	2026-01-05	Books	3	50000
T000000000022	2026-01-05		3	100
T000000000023	2026-01-05	Outdoor	3	999999.99
T000000000024	2026-01-05	Office	3	33333.34
